id,source,brand,product_url,title,category,gender,price,sale,description,image_url,second_hand
,scraper-bound,Bound,https://wearebound.com/products/staten-cargo-trouser-charcoal,STATEN CARGO TROUSER - CHARCOAL,Trousers,UNISEX,120USD,120USD,,http://wearebound.com/cdn/shop/files/110341.jpg?v=1759258157,False
,scraper-bound,Bound,https://wearebound.com/products/staten-cargo-trouser-army-green,STATEN CARGO TROUSER - ARMY GREEN,Trousers,UNISEX,120USD,120USD,,http://wearebound.com/cdn/shop/files/110487.jpg?v=1759258139,False
,scraper-bound,Bound,https://wearebound.com/products/embers-gradient-boucle-knit,EMBERS GRADIENT BOUCLE KNIT,Knitwear,UNISEX,148USD,148USD,,http://wearebound.com/cdn/shop/files/109573.jpg?v=1759241886,False
,scraper-bound,Bound,https://wearebound.com/products/alpaca-brushed-stripe-vest,ALPACA BRUSHED STRIPE VEST,,UNISEX,155USD,155USD,,http://wearebound.com/cdn/shop/files/109918.jpg?v=1759242033,False
,scraper-bound,Bound,https://wearebound.com/products/melvin-washed-sweater-bright-orange,MELVIN WASHED SWEATER - BRIGHT ORANGE,Sweaters,UNISEX,155USD,155USD,,http://wearebound.com/cdn/shop/files/110759.jpg?v=1759258092,False
,scraper-bound,Bound,https://wearebound.com/products/melvin-washed-sweater-jade,MELVIN WASHED SWEATER - JADE,Sweaters,UNISEX,155USD,155USD,,http://wearebound.com/cdn/shop/files/107278.jpg?v=1759868878,False
,scraper-bound,Bound,https://wearebound.com/products/textured-polo-sweater-hunter-green,TEXTURED POLO SWEATER - HUNTER GREEN,Sweaters,UNISEX,127USD,127USD,,http://wearebound.com/cdn/shop/files/110674.jpg?v=1759257972,False
,scraper-bound,Bound,https://wearebound.com/products/cable-knit-half-zip-mid-grey,CABLE KNIT HALF ZIP - MID GREY,Knitwear,UNISEX,155USD,155USD,,http://wearebound.com/cdn/shop/files/109934.jpg?v=1759242165,False
,scraper-bound,Bound,https://wearebound.com/products/estate-knit-sky-blue,ESTATE KNIT - SKY BLUE,Knitwear,UNISEX,106USD,106USD,,http://wearebound.com/cdn/shop/files/109712.jpg?v=1759241973,False
,scraper-bound,Bound,https://wearebound.com/products/parker-alpaca-cardigan-plum,PARKER ALPACA CARDIGAN - PLUM,Cardigans,UNISEX,176USD,176USD,,http://wearebound.com/cdn/shop/files/109792.jpg?v=1759242055,False
,scraper-bound,Bound,https://wearebound.com/products/parker-alpaca-cardigan-bottle-green,PARKER ALPACA CARDIGAN - BOTTLE GREEN,Cardigans,UNISEX,176USD,176USD,,http://wearebound.com/cdn/shop/files/110019.jpg?v=1759241818,False
,scraper-bound,Bound,https://wearebound.com/products/samson-cardigan-moss,SAMSON CARDIGAN - MOSS GREEN,Cardigans,UNISEX,134USD,134USD,,http://wearebound.com/cdn/shop/files/BOUND_ECOM_0802.jpg?v=1763909767,False
,scraper-bound,Bound,https://wearebound.com/products/diamond-cable-mock-neck-knit-navy,DIAMOND CABLE MOCK NECK KNIT - NAVY,Knitwear,UNISEX,162USD,162USD,,http://wearebound.com/cdn/shop/files/109640.jpg?v=1759241949,False
,scraper-bound,Bound,https://wearebound.com/products/wool-button-polo-ocean-navy,WOOL BUTTON POLO - OCEAN NAVY,Polos,UNISEX,155USD,155USD,,http://wearebound.com/cdn/shop/files/110437.jpg?v=1759257511,False
,scraper-bound,Bound,https://wearebound.com/products/cable-knit-acid-wash-knit-dusty-pink,CABLE KNIT ACID WASH KNIT - DUSTY PINK,Knitwear,UNISEX,127USD,127USD,,http://wearebound.com/cdn/shop/files/109960.jpg?v=1759242188,False
,scraper-bound,Bound,https://wearebound.com/products/chunky-mock-neck-knit-bottle-green,CHUNKY MOCK NECK KNIT - BOTTLE GREEN,Knitwear,UNISEX,155USD,155USD,,http://wearebound.com/cdn/shop/files/110787_cd499c09-401f-41d4-8b67-ce43c86e55b2.jpg?v=1759257296,False
,scraper-bound,Bound,https://wearebound.com/products/open-collar-acid-wash-knit-green,OPEN COLLAR ACID WASH KNIT - GREEN,Knitwear,UNISEX,138USD,138USD,,http://wearebound.com/cdn/shop/files/110559.jpg?v=1759257263,False
,scraper-bound,Bound,https://wearebound.com/products/moahir-sweatpants-black,MOHAIR SWEATPANTS - BLACK,Trousers,UNISEX,106USD,106USD,,http://wearebound.com/cdn/shop/files/107572.jpg?v=1759241644,False
,scraper-bound,Bound,https://wearebound.com/products/moahir-sweatpants-grey,MOHAIR SWEATPANTS - GREY,Trousers,UNISEX,106USD,106USD,,http://wearebound.com/cdn/shop/files/107619.jpg?v=1759241663,False
,scraper-bound,Bound,https://wearebound.com/products/mohair-beanie-brown,MOHAIR BEANIE - BROWN,Beanies,UNISEX,64USD,64USD,,http://wearebound.com/cdn/shop/files/MOHAIR_BROWN_02.jpg?v=1759852798,False
,scraper-bound,Bound,https://wearebound.com/products/mohair-beanie-jade,MOHAIR BEANIE - JADE,Beanies,UNISEX,64USD,64USD,,http://wearebound.com/cdn/shop/files/MOHAIR_JADE_01.jpg?v=1759852815,False
,scraper-bound,Bound,https://wearebound.com/products/mohair-beanie-black,MOHAIR BEANIE - BLACK,Beanies,UNISEX,64USD,64USD,,http://wearebound.com/cdn/shop/files/MOHAIR_BLACK_02.jpg?v=1759852829,False
,scraper-bound,Bound,https://wearebound.com/products/organic-fisherman-ribbed-label-beanie-french-navy,ORGANIC FISHERMAN RIBBED LABEL BEANIE - FRENCH NAVY,Beanies,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/FISHERMAN_NAVY_01.jpg?v=1759851505,False
,scraper-bound,Bound,https://wearebound.com/products/organic-fisherman-ribbed-label-beanie-amber,ORGANIC FISHERMAN RIBBED LABEL BEANIE - AMBER,Beanies,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/FISHERMAN_ORANGE_01.jpg?v=1759849369,False
,scraper-bound,Bound,https://wearebound.com/products/organic-fisherman-ribbed-label-beanie-black,ORGANIC FISHERMAN RIBBED LABEL BEANIE - BLACK,Beanies,UNISEX,50USD,50USD,,http://wearebound.com/cdn/shop/files/FISHERMAN_BLACK_01.jpg?v=1759849353,False
